Account No.,Type
RPF55273510,CURRENT
ZWO99637278,CURRENT
QGR87109246,SAVINGS
OGV77464958,SAVINGS
IHD04405907,CURRENT
UKA08293403,SAVINGS
JOV03236095,SAVINGS
IAC00882981,SAVINGS
WRE71747050,
XLS97919812,CURRENT
EEH17393391,CURRENT
PGZ79328379,SAVINGS
IAC47906719,CURRENT
WGP94521251,CURRENT
XUT89104364,SAVINGS
,CURRENT
DGS55104956,CURRENT
USQ39459392,CURRENT
NKJ26050427,CURRENT
ZJK91819765,CURRENT
QJG87971590,SAVINGS
KMB58748486,SAVINGS
BZV78927381,SAVINGS
RJN98834437,SAVINGS
HCJ41070777,SAVINGS
TKC33521933,CURRENT
WBA92144861,CURRENT
STE65519060,SAVINGS
SEY94858390,SAVINGS
XBX84012682,SAVINGS
,SAVINGS
CSL55411531,SAVINGS
LEX46907720,SAVINGS
XPG76376631,CURRENT
IRP89690552,CURRENT
QKM54637804,CURRENT
ODA52683405,CURRENT
UFR11402868,SAVINGS
PXD41054927,CURRENT
SHE70783305,SAVINGS
III36729150,SAVINGS
JIP35460533,CURRENT
JWD84140060,CURRENT
QIH13816305,SAVINGS
LCE89643814,SAVINGS
MFM82291690,SAVINGS
NEY76050006,CURRENT
YVL78734570,CURRENT
CDM73797239,SAVINGS
RDV71682566,SAVINGS
BBT40961405,SAVINGS
GGR01467190,CURRENT
EMW05933595,CURRENT
,SAVINGS
TOW30986887,CURRENT
YTP57586106,CURRENT
UPD12236839,SAVINGS
FAO15803013,CURRENT
QDX50406113,SAVINGS
SMD93627083,SAVINGS
,SAVINGS
HJI28490523,SAVINGS
SEJ98528565,CURRENT
MRL39288700,
YPS70660352,CURRENT
GGN82840403,CURRENT
SII68438444,SAVINGS
OKB41212049,SAVINGS
LCM73655951,SAVINGS
JPO66117583,CURRENT
UKN05863703,SAVINGS
NTM58046465,SAVINGS
VUK88378865,
UUU68750633,CURRENT
NOQ63262068,SAVINGS
GEH96399318,SAVINGS
EEG22058517,CURRENT
TCR81234686,SAVINGS
HXX15635542,CURRENT
FHU46026179,SAVINGS
QEQ16411821,
YHD72599447,CURRENT
ZRM46335276,CURRENT
NYE75133290,SAVINGS
UUU23008515,
GLX61040905,SAVINGS
LUL96821622,CURRENT
SUN19074409,
,CURRENT
CRJ18071580,CURRENT
EFG25175592,SAVINGS
MZI93081301,SAVINGS
AXP08665245,CURRENT
KJZ60686120,SAVINGS
CDF84736067,CURRENT
